timestamp,humidity
2026-02-06_03:14,56.82
2026-02-06_03:16,56.61
2026-02-06_03:18,56.66
2026-02-06_03:20,56.42
2026-02-06_03:22,56.65
2026-02-06_03:24,56.79
2026-02-06_03:26,56.81
2026-02-06_03:28,56.69
2026-02-06_03:30,56.61
2026-02-06_03:32,56.80
2026-02-06_03:34,56.64
2026-02-06_03:36,56.68
2026-02-06_03:38,56.46
2026-02-06_03:40,56.76
2026-02-06_03:42,56.70
2026-02-06_03:44,56.69
2026-02-06_03:46,56.25
2026-02-06_03:48,56.09
2026-02-06_03:50,55.96
2026-02-06_03:52,55.50
2026-02-06_03:54,55.54
2026-02-06_03:56,54.69
2026-02-06_03:58,54.56
2026-02-06_04:00,54.62
2026-02-06_04:02,54.61
2026-02-06_04:04,54.44
2026-02-06_04:06,54.82
2026-02-06_04:08,54.52
2026-02-06_04:10,54.44
2026-02-06_04:12,54.50
2026-02-06_04:14,54.70
2026-02-06_04:16,54.05
2026-02-06_04:18,54.02
2026-02-06_04:20,53.93
2026-02-06_04:22,53.89
2026-02-06_04:24,53.92
2026-02-06_04:26,53.89
2026-02-06_04:28,53.87
2026-02-06_04:30,53.91
2026-02-06_04:32,53.83
2026-02-06_04:34,53.82
2026-02-06_04:36,53.84
2026-02-06_04:38,53.78
2026-02-06_04:40,53.71
2026-02-06_04:42,53.81
2026-02-06_04:44,53.75
2026-02-06_04:46,53.70
2026-02-06_04:48,53.68
2026-02-06_04:50,53.68
2026-02-06_04:52,53.71
2026-02-06_04:54,53.70
2026-02-06_04:56,53.60
2026-02-06_04:58,53.68
2026-02-06_05:00,53.69
2026-02-06_05:02,53.55
2026-02-06_05:04,53.53
2026-02-06_05:06,53.50
2026-02-06_05:08,53.44
2026-02-06_05:10,53.53
2026-02-06_05:12,53.44
2026-02-06_05:14,53.35
2026-02-06_05:16,53.44
2026-02-06_05:18,53.40
2026-02-06_05:20,53.37
2026-02-06_05:22,53.42
2026-02-06_05:24,53.38
2026-02-06_05:26,53.29
2026-02-06_05:28,53.39
2026-02-06_05:30,53.36
2026-02-06_05:32,53.29
2026-02-06_05:34,53.30
2026-02-06_05:36,53.33
2026-02-06_05:38,53.26
2026-02-06_05:40,53.26
2026-02-06_05:42,53.27
2026-02-06_05:44,53.16
2026-02-06_05:46,53.20
2026-02-06_05:48,53.15
2026-02-06_05:50,53.13
2026-02-06_05:52,53.19
2026-02-06_05:54,53.30
2026-02-06_05:56,53.06
2026-02-06_05:58,53.13
2026-02-06_06:00,53.25
2026-02-06_06:02,53.09
2026-02-06_06:04,53.10
2026-02-06_06:06,53.18
2026-02-06_06:08,53.12
2026-02-06_06:10,53.16
2026-02-06_06:12,53.13
2026-02-06_06:14,53.06
2026-02-06_06:16,53.13
2026-02-06_06:18,53.15
2026-02-06_06:20,53.09
2026-02-06_06:22,53.23
2026-02-06_06:24,53.10
2026-02-06_06:26,53.07
2026-02-06_06:28,53.19
2026-02-06_06:30,53.16
2026-02-06_06:32,53.04
2026-02-06_06:34,53.12
2026-02-06_06:36,53.20
2026-02-06_06:38,53.34
2026-02-06_06:40,53.49
2026-02-06_06:42,53.73
2026-02-06_06:44,53.75
2026-02-06_06:46,54.26
2026-02-06_06:48,54.68
2026-02-06_06:50,54.80
2026-02-06_06:52,54.20
2026-02-06_06:54,54.16
2026-02-06_06:56,54.43
2026-02-06_06:58,54.76
2026-02-06_07:00,55.01
2026-02-06_07:02,55.42
2026-02-06_07:04,55.83
2026-02-06_07:06,56.28
2026-02-06_07:08,56.87
2026-02-06_07:10,56.88
2026-02-06_07:12,56.97
2026-02-06_07:14,57.19
2026-02-06_07:16,56.97
2026-02-06_07:18,57.25
2026-02-06_07:20,56.96
2026-02-06_07:22,57.04
2026-02-06_07:24,57.20
2026-02-06_07:26,57.16
2026-02-06_07:28,57.41
2026-02-06_07:30,57.32
2026-02-06_07:32,56.84
2026-02-06_07:34,57.06
2026-02-06_07:36,56.68
2026-02-06_07:38,56.31
2026-02-06_07:40,56.46
2026-02-06_07:42,56.18
2026-02-06_07:44,55.73
2026-02-06_07:46,55.63
2026-02-06_07:48,55.47
2026-02-06_07:50,55.39
2026-02-06_07:52,55.52
2026-02-06_07:54,55.57
2026-02-06_07:58,55.38
2026-02-06_08:00,55.30
2026-02-06_08:02,56.10
2026-02-06_08:04,55.49
2026-02-06_08:06,55.11
2026-02-06_08:08,55.21
2026-02-06_08:10,55.24
2026-02-06_08:12,55.15
2026-02-06_08:14,55.12
2026-02-06_08:16,54.99
2026-02-06_08:18,55.00
2026-02-06_08:20,55.75
2026-02-06_08:22,55.85
2026-02-06_08:24,55.94
2026-02-06_08:26,56.19
2026-02-06_08:28,56.53
2026-02-06_08:30,56.59
2026-02-06_08:32,56.22
2026-02-06_08:34,56.22
2026-02-06_08:36,56.34
2026-02-06_08:40,55.53
2026-02-06_08:42,56.53
2026-02-06_08:44,56.56
2026-02-06_08:46,56.52
2026-02-06_08:48,56.33
2026-02-06_08:50,56.19
2026-02-06_08:52,56.58
2026-02-06_08:54,56.67
2026-02-06_08:56,56.78
2026-02-06_08:58,56.50
2026-02-06_09:00,56.65
2026-02-06_09:02,56.76
2026-02-06_09:04,56.78
2026-02-06_09:06,56.64
2026-02-06_09:08,56.83
2026-02-06_09:10,56.46
2026-02-06_09:12,56.27
2026-02-06_09:14,56.09
2026-02-06_09:16,56.21
2026-02-06_09:18,56.67
2026-02-06_09:20,56.81
2026-02-06_09:22,56.96
2026-02-06_09:24,57.29
2026-02-06_09:26,56.55
2026-02-06_09:28,56.85
2026-02-06_09:30,56.54
2026-02-06_09:32,56.99
2026-02-06_09:34,57.09
2026-02-06_09:36,56.67
2026-02-06_09:38,56.73
2026-02-06_09:40,56.54
2026-02-06_09:42,57.16
2026-02-06_09:44,56.96
2026-02-06_09:46,56.73
2026-02-06_09:48,56.72
2026-02-06_09:50,57.03
2026-02-06_09:52,56.88
2026-02-06_09:54,56.97
2026-02-06_09:56,57.01
2026-02-06_09:58,57.06
2026-02-06_10:00,56.88
2026-02-06_10:02,56.52
2026-02-06_10:04,57.01
2026-02-06_10:06,57.00
2026-02-06_10:08,56.96
2026-02-06_10:10,57.13
2026-02-06_10:12,56.86
2026-02-06_10:14,56.71
2026-02-06_10:16,56.81
2026-02-06_10:18,57.18
2026-02-06_10:20,56.91
2026-02-06_10:22,56.82
2026-02-06_10:24,57.01
2026-02-06_10:26,56.88
2026-02-06_10:28,56.95
2026-02-06_10:30,57.33
2026-02-06_10:32,56.75
2026-02-06_10:34,56.69
2026-02-06_10:36,56.54
2026-02-06_10:38,56.96
2026-02-06_10:40,56.71
2026-02-06_10:42,56.50
2026-02-06_10:44,56.55
2026-02-06_10:46,56.51
2026-02-06_10:48,56.52
2026-02-06_10:50,57.22
2026-02-06_10:52,56.81
2026-02-06_10:54,56.96
2026-02-06_10:56,56.55
2026-02-06_10:58,56.89
2026-02-06_11:00,56.16
2026-02-06_11:02,55.30
2026-02-06_11:04,54.83
2026-02-06_11:06,54.71
2026-02-06_11:08,54.58
2026-02-06_11:10,54.49
2026-02-06_11:12,54.39
2026-02-06_11:14,54.33
2026-02-06_11:16,54.41
2026-02-06_11:18,54.37
2026-02-06_11:20,54.22
2026-02-06_11:22,54.29
2026-02-06_11:24,54.21
2026-02-06_11:26,54.14
2026-02-06_11:28,54.24
2026-02-06_11:30,54.16
2026-02-06_11:32,54.26
2026-02-06_11:34,54.20
2026-02-06_11:36,54.12
2026-02-06_11:38,54.13
2026-02-06_11:40,54.18
2026-02-06_11:42,54.15
2026-02-06_11:44,54.15
2026-02-06_11:46,54.09
2026-02-06_11:48,54.19
2026-02-06_11:50,54.09
2026-02-06_11:52,54.11
2026-02-06_11:54,54.08
2026-02-06_11:56,54.12
2026-02-06_11:58,54.26
2026-02-06_12:00,54.16
2026-02-06_12:02,54.04
2026-02-06_12:04,54.10
2026-02-06_12:06,54.07
2026-02-06_12:08,54.00
2026-02-06_12:10,54.12
2026-02-06_12:12,54.01
2026-02-06_12:14,54.20
2026-02-06_12:16,54.07
2026-02-06_12:18,54.00
2026-02-06_12:20,54.01
2026-02-06_12:22,54.00
2026-02-06_12:24,54.03
2026-02-06_12:26,54.00
2026-02-06_12:28,53.94
2026-02-06_12:30,54.06
2026-02-06_12:32,53.94
2026-02-06_12:34,53.89
2026-02-06_12:36,53.93
2026-02-06_12:38,53.91
2026-02-06_12:40,54.09
2026-02-06_12:42,53.95
2026-02-06_12:44,53.87
2026-02-06_12:46,53.99
2026-02-06_12:48,53.91
2026-02-06_12:50,53.88
2026-02-06_12:52,53.94
2026-02-06_12:54,53.86
2026-02-06_12:56,54.02
2026-02-06_12:58,53.91
2026-02-06_13:00,53.80
2026-02-06_13:02,53.81
2026-02-06_13:04,53.83
2026-02-06_13:06,53.86
2026-02-06_13:08,53.86
2026-02-06_13:10,53.88
2026-02-06_13:12,54.12
2026-02-06_13:14,53.95
2026-02-06_13:16,53.95
2026-02-06_13:18,54.25
2026-02-06_13:20,54.01
2026-02-06_13:22,54.35
2026-02-06_13:24,54.62
2026-02-06_13:26,54.64
2026-02-06_13:28,54.57
2026-02-06_13:30,54.35
2026-02-06_13:32,54.54
2026-02-06_13:34,55.50
2026-02-06_13:36,55.55
2026-02-06_13:38,55.47
2026-02-06_13:40,55.30
2026-02-06_13:42,55.89
2026-02-06_13:44,56.04
2026-02-06_13:46,55.96
2026-02-06_13:48,56.14
2026-02-06_13:50,55.77
2026-02-06_13:52,55.53
2026-02-06_13:54,56.06
2026-02-06_13:56,56.47
2026-02-06_13:58,56.16
2026-02-06_14:00,56.42
2026-02-06_14:02,55.76
2026-02-06_14:04,55.99
2026-02-06_14:06,55.82
2026-02-06_14:08,56.02
2026-02-06_14:10,56.12
2026-02-06_14:12,56.25
2026-02-06_14:14,55.75
2026-02-06_14:16,56.13
2026-02-06_14:18,56.06
2026-02-06_14:20,56.28
2026-02-06_14:22,56.19
2026-02-06_14:24,55.77
2026-02-06_14:26,56.33
2026-02-06_14:28,55.59
2026-02-06_14:30,54.81
2026-02-06_14:32,54.09
2026-02-06_14:34,53.87
2026-02-06_14:36,54.04
2026-02-06_14:38,53.76
2026-02-06_14:40,53.59
2026-02-06_14:42,53.71
2026-02-06_14:44,53.76
2026-02-06_14:46,53.77
2026-02-06_14:48,53.66
2026-02-06_14:50,53.57
2026-02-06_14:52,53.71
2026-02-06_14:54,53.58
2026-02-06_14:58,53.47
2026-02-06_15:00,53.50
2026-02-06_15:02,53.62
2026-02-06_15:04,53.51
2026-02-06_15:06,53.51
2026-02-06_15:08,53.57
2026-02-06_15:10,53.57
2026-02-06_15:12,53.47
2026-02-06_15:14,53.52
2026-02-06_15:16,53.44
2026-02-06_15:18,53.60
2026-02-06_15:20,53.48
2026-02-06_15:22,53.52
2026-02-06_15:24,53.53
2026-02-06_15:26,53.52
2026-02-06_15:28,53.51
2026-02-06_15:30,53.70
2026-02-06_15:32,54.06
2026-02-06_15:34,54.42
2026-02-06_15:36,54.50
2026-02-06_15:40,54.85
2026-02-06_15:42,54.83
2026-02-06_15:44,54.97
2026-02-06_15:46,55.03
2026-02-06_15:48,55.06
2026-02-06_15:50,55.27
2026-02-06_15:52,55.28
2026-02-06_15:54,55.13
2026-02-06_15:56,55.18
2026-02-06_15:58,55.36
2026-02-06_16:00,55.13
2026-02-06_16:02,55.31
2026-02-06_16:04,55.45
2026-02-06_16:06,55.29
2026-02-06_16:08,55.48
2026-02-06_16:10,55.37
2026-02-06_16:12,55.31
2026-02-06_16:14,55.33
2026-02-06_16:16,55.39
2026-02-06_16:18,55.36
2026-02-06_16:20,55.44
2026-02-06_16:22,55.31
2026-02-06_16:24,55.69
2026-02-06_16:26,55.47
2026-02-06_16:28,55.46
2026-02-06_16:30,55.38
2026-02-06_16:32,55.43
2026-02-06_16:34,55.39
2026-02-06_16:36,55.63
2026-02-06_16:38,55.58
2026-02-06_16:40,55.53
2026-02-06_16:42,55.86
2026-02-06_16:44,55.89
2026-02-06_16:46,55.66
2026-02-06_16:48,55.70
2026-02-06_16:50,55.99
2026-02-06_16:52,55.62
2026-02-06_16:54,55.75
2026-02-06_16:56,55.52
2026-02-06_16:58,55.64
2026-02-06_17:00,55.49
2026-02-06_17:02,55.40
2026-02-06_17:04,55.83
2026-02-06_17:06,55.59
2026-02-06_17:08,55.54
2026-02-06_17:10,55.55
2026-02-06_17:12,56.00
2026-02-06_17:14,55.87
2026-02-06_17:16,55.63
2026-02-06_17:18,55.52
2026-02-06_17:20,55.99
2026-02-06_17:22,55.86
2026-02-06_17:24,56.08
2026-02-06_17:26,55.77
2026-02-06_17:28,55.93
2026-02-06_17:30,55.89
2026-02-06_17:32,55.86
2026-02-06_17:34,55.58
2026-02-06_17:36,55.68
2026-02-06_17:38,55.85
2026-02-06_17:40,55.62
2026-02-06_17:42,55.59
2026-02-06_17:44,55.96
2026-02-06_17:46,55.71
2026-02-06_17:48,55.51
2026-02-06_17:50,56.06
2026-02-06_17:52,56.32
2026-02-06_17:54,55.91
2026-02-06_17:56,55.93
2026-02-06_17:58,55.86
2026-02-06_18:00,55.57
2026-02-06_18:02,55.69
2026-02-06_18:04,55.83
2026-02-06_18:06,56.05
2026-02-06_18:08,56.34
2026-02-06_18:10,56.37
2026-02-06_18:12,56.93
2026-02-06_18:14,55.83
2026-02-06_18:16,56.14
2026-02-06_18:18,56.34
2026-02-06_18:20,56.98
2026-02-06_18:22,57.45
2026-02-06_18:24,57.21
2026-02-06_18:26,57.13
2026-02-06_18:28,57.33
2026-02-06_18:30,57.61
2026-02-06_18:32,57.54
2026-02-06_18:34,57.54
2026-02-06_18:36,57.74
2026-02-06_18:38,57.43
2026-02-06_18:40,57.58
2026-02-06_18:42,57.57
2026-02-06_18:44,57.84
2026-02-06_18:46,57.73
2026-02-06_18:48,57.71
2026-02-06_18:50,57.52
2026-02-06_18:52,57.40
2026-02-06_18:54,57.37
2026-02-06_18:56,57.11
2026-02-06_18:58,56.66
2026-02-06_19:00,56.20
2026-02-06_19:02,55.73
2026-02-06_19:04,55.55
2026-02-06_19:06,55.32
2026-02-06_19:08,55.67
2026-02-06_19:10,55.55
2026-02-06_19:12,55.38
2026-02-06_19:14,55.40
2026-02-06_19:16,55.34
2026-02-06_19:18,55.47
2026-02-06_19:20,55.52
2026-02-06_19:22,55.54
2026-02-06_19:24,55.52
2026-02-06_19:26,55.54
2026-02-06_19:28,55.57
2026-02-06_19:30,55.81
2026-02-06_19:32,55.67
2026-02-06_19:34,55.65
2026-02-06_19:36,55.59
2026-02-06_19:38,55.63
2026-02-06_19:40,55.63
2026-02-06_19:42,55.58
2026-02-06_19:44,55.61
2026-02-06_19:46,55.54
2026-02-06_19:48,55.51
2026-02-06_19:50,55.50
2026-02-06_19:52,55.43
2026-02-06_19:54,55.38
2026-02-06_19:56,55.38
2026-02-06_19:58,55.30
2026-02-06_20:00,55.35
2026-02-06_20:02,55.29
2026-02-06_20:04,55.21
2026-02-06_20:06,55.12
2026-02-06_20:08,55.17
2026-02-06_20:10,55.05
2026-02-06_20:12,54.96
2026-02-06_20:14,55.03
2026-02-06_20:16,55.06
2026-02-06_20:18,55.01
2026-02-06_20:20,55.01
2026-02-06_20:22,55.01
2026-02-06_20:24,55.02
2026-02-06_20:26,54.95
2026-02-06_20:28,54.91
2026-02-06_20:30,54.84
2026-02-06_20:32,54.91
2026-02-06_20:34,54.85
2026-02-06_20:36,54.82
2026-02-06_20:38,54.81
2026-02-06_20:40,54.73
2026-02-06_20:42,54.66
2026-02-06_20:44,54.67
2026-02-06_20:46,54.56
2026-02-06_20:48,54.63
2026-02-06_20:50,54.60
2026-02-06_20:52,54.54
2026-02-06_20:54,54.53
2026-02-06_20:56,54.62
2026-02-06_20:58,54.54
2026-02-06_21:00,54.58
2026-02-06_21:02,54.67
2026-02-06_21:04,54.80
2026-02-06_21:06,54.86
2026-02-06_21:08,54.65
2026-02-06_21:10,54.71
2026-02-06_21:12,54.85
2026-02-06_21:14,54.67
2026-02-06_21:16,54.83
2026-02-06_21:18,54.72
2026-02-06_21:20,54.60
2026-02-06_21:22,54.68
2026-02-06_21:24,54.85
2026-02-06_21:26,54.78
2026-02-06_21:28,54.93
2026-02-06_21:30,54.65
2026-02-06_21:32,54.91
2026-02-06_21:34,54.61
2026-02-06_21:36,54.47
2026-02-06_21:38,54.51
2026-02-06_21:40,54.47
2026-02-06_21:42,54.56
2026-02-06_21:44,54.40
2026-02-06_21:46,54.87
2026-02-06_21:48,54.46
2026-02-06_21:50,54.37
2026-02-06_21:52,54.30
2026-02-06_21:54,54.42
2026-02-06_21:56,54.42
2026-02-06_21:58,54.43
2026-02-06_22:00,54.38
2026-02-06_22:02,54.43
2026-02-06_22:04,54.37
2026-02-06_22:06,54.38
2026-02-06_22:08,54.24
2026-02-06_22:10,54.52
2026-02-06_22:12,54.41
2026-02-06_22:14,54.34
2026-02-06_22:16,54.45
2026-02-06_22:18,54.30
2026-02-06_22:20,54.23
2026-02-06_22:22,54.25
2026-02-06_22:24,54.34
2026-02-06_22:26,54.11
2026-02-06_22:28,54.11
2026-02-06_22:30,54.05
2026-02-06_22:32,54.11
2026-02-06_22:34,54.02
2026-02-06_22:36,54.08
2026-02-06_22:38,54.11
2026-02-06_22:40,54.71
2026-02-06_22:42,55.45
2026-02-06_22:44,56.15
2026-02-06_22:46,56.17
2026-02-06_22:48,56.14
2026-02-06_22:50,56.27
2026-02-06_22:52,55.66
2026-02-06_22:54,55.40
2026-02-06_22:56,54.75
2026-02-06_22:58,55.67
2026-02-06_23:00,55.77
2026-02-06_23:02,55.01
2026-02-06_23:04,54.89
2026-02-06_23:06,54.99
2026-02-06_23:08,55.47
2026-02-06_23:10,55.55
2026-02-06_23:12,55.39
2026-02-06_23:14,55.22
2026-02-06_23:16,55.07
2026-02-06_23:18,54.89
2026-02-06_23:20,54.65
2026-02-06_23:22,54.69
2026-02-06_23:24,54.97
2026-02-06_23:26,54.47
2026-02-06_23:28,54.83
2026-02-06_23:30,56.48
2026-02-06_23:32,55.56
2026-02-06_23:34,55.55
2026-02-06_23:36,55.38
2026-02-06_23:38,55.68
2026-02-06_23:40,55.34
2026-02-06_23:42,55.57
2026-02-06_23:44,55.55
2026-02-06_23:46,55.28
2026-02-06_23:48,56.52
2026-02-06_23:50,56.04
2026-02-06_23:52,55.77
2026-02-06_23:54,56.59
2026-02-06_23:56,55.91
2026-02-06_23:58,56.33
